Codigo;Nome;Turma;Professor;CH_total;Seg;Ter;Qua;Qui;Sex;Sab;Link
SEN00143;TEORIA DO COMERCIO INTERNACIONAL I;P1;Tiago Barcelos;60;;20:00-22:00;;20:00-22:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447978
SEN00137;TEORIA DOS JOGOS;A1;Marcos Lyra;60;;16:00-18:00;;16:00-18:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447829
SEN00076;TEORIA MACROECONOMICA I;A1;Lucilene Morandi;60;;11:00-13:00;;11:00-13:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447748
SEN00076;TEORIA MACROECONOMICA I;P1;Leon Esquierro;60;;20:00-22:00;;20:00-22:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447922
SEN00077;TEORIA MACROECONOMICA II;A1;Leonardo Muls;60;;11:00-13:00;;11:00-13:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447758
SEN00077;TEORIA MACROECONOMICA II;P1;Luciano Oliveira;60;;20:00-22:00;;20:00-22:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447933
SEN00078;TEORIA MACROECONOMICA III;A1;Helder Mendonca;60;;11:00-13:00;;11:00-13:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447766
SEN00078;TEORIA MACROECONOMICA III;P1;Julio Bastos;60;;20:00-22:00;;20:00-22:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447939
SEN00079;TEORIA MACROECONÔMICA IV;A1;Lucas Póvoa;60;;11:00-13:00;;11:00-13:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447782
SEN00079;TEORIA MACROECONÔMICA IV;P1;Gabriel Montes;60;;20:00-22:00;;20:00-22:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447943
SEN00073;TEORIA MICROECONOMICA II;A1;Welinton Ferreira;60;;09:00-11:00;;09:00-11:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447764
SEN00073;TEORIA MICROECONOMICA II;P1;Marcos Lyra;60;;18:00-20:00;;18:00-20:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447938
SEN00074;TEORIA MICROECONOMICA III;A1;Niagara Silva;60;;09:00-11:00;;09:00-11:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447780
SEN00074;TEORIA MICROECONOMICA III;P1;Felipe Silva;60;;18:00-20:00;;18:00-20:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447942
SEN00075;TEORIA MICROECONOMICA IV;A1;Tiago Barcelos;60;;09:00-11:00;;09:00-11:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447792
SEN00075;TEORIA MICROECONOMICA IV;P1;Jorge Britto;60;;18:00-20:00;;18:00-20:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447949
